table	ga_dims	columns	keys
d_ga_source	"ga:sourceMedium,ga:source,ga:medium,ga:socialNetwork"	"source_medium,source,medium,social_network"	"source_medium"
d_ga_platform	"ga:operatingSystem,ga:deviceCategory,ga:operatingSystemVersion"	"os,device_category,os_version"	"os,device_category,os_version"
d_ga_geo	"ga:continent,ga:subContinent,ga:country,ga:countryIsoCode,ga:region,ga:cityId,ga:city"	"continent,sub_continent,country,country_code,region,city_id,city"	"city_id"
d_ga_page	"ga:pageTitle"	"page_title"	"page_title"
